,test_group,split_1,split_2,scXMatch,wilcoxon,deseq2_100,edgeR_100,augur
mcfarland_3,BRD3379_6,10,30,0.9998090691293869,0.2315,0.0425,0.0935,0.711859410430839
mcfarland_3,BRD3379_6,10,50,0.9976002444090643,0.253,0.0605,0.1015,0.7557823129251701
mcfarland_3,BRD3379_6,30,10,0.999989539144975,0.2605,0.0085,0.0605,0.7167800453514741
mcfarland_3,BRD3379_6,30,30,0.9999995326226504,0.342,0.043,0.0945,0.7528231292517007
mcfarland_3,BRD3379_6,30,50,0.9999998698471239,0.3585,0.052,0.1075,0.7832993197278911
mcfarland_3,BRD3379_6,50,10,0.9999727070807259,0.276,0.008,0.0855,0.7212698412698413
mcfarland_3,BRD3379_6,50,30,0.9999999993040241,0.376,0.0425,0.113,0.753639455782313
mcfarland_3,BRD3379_6,50,50,0.9999999998571204,0.396,0.06,0.1315,0.7901133786848071
mcfarland_4,BRD3379_24,10,10,0.9996623782633162,0.076,0.0295,0.095,0.6465986394557822
mcfarland_4,BRD3379_24,10,30,0.9962451408473866,0.0955,0.0685,0.1135,0.6218707482993198
mcfarland_4,BRD3379_24,10,50,0.9998531969540251,0.0975,0.1,0.151,0.6385714285714286
mcfarland_4,BRD3379_24,30,10,0.9999838132489987,0.135,0.0835,0.168,0.6721655328798186
mcfarland_4,BRD3379_24,30,30,0.9999999999998423,0.155,0.113,0.1495,0.6858049886621316
mcfarland_4,BRD3379_24,30,50,1.0,0.1875,0.1505,0.198,0.687562358276644
mcfarland_4,BRD3379_24,50,10,0.9999999827062038,0.1455,0.0945,0.166,0.64156462585034
mcfarland_4,BRD3379_24,50,30,0.9999999999999684,0.1695,0.1095,0.1455,0.6534467120181405
mcfarland_4,BRD3379_24,50,50,1.0,0.226,0.1605,0.2055,0.6502267573696144
mcfarland_4,BRD3379_6,10,10,0.9258773795061475,0.162,0.014,0.0485,0.8111337868480727
mcfarland_4,BRD3379_6,10,30,0.8075161799380817,0.1585,0.036,0.069,0.7630045351473923
mcfarland_4,BRD3379_6,10,50,0.9436724409840039,0.171,0.059,0.1035,0.7669614512471655
mcfarland_4,BRD3379_6,30,10,0.9999996001631747,0.313,0.0385,0.07,0.8395918367346938
mcfarland_4,BRD3379_6,30,30,0.9989404921040336,0.334,0.0615,0.1025,0.7871768707482993
mcfarland_4,BRD3379_6,30,50,0.999998727315645,0.3735,0.1115,0.1545,0.7915079365079366
mcfarland_4,BRD3379_6,50,10,0.9999036513070546,0.3235,0.0405,0.13,0.8215532879818593
mcfarland_4,BRD3379_6,50,30,0.9999460905530706,0.359,0.056,0.0935,0.760952380952381
mcfarland_4,BRD3379_6,50,50,0.9999999995740816,0.4145,0.1,0.1485,0.7716326530612244
mcfarland_5,BRD3379_24,10,10,0.9867045047579404,0.04,0.0005,0.0065,0.5952721088435374
mcfarland_5,BRD3379_24,10,30,0.9983800764801473,0.088,0.035,0.0655,0.6804875283446712
mcfarland_5,BRD3379_24,10,50,0.9999413678602866,0.101,0.0575,0.083,0.680532879818594
mcfarland_5,BRD3379_24,30,10,0.9999569055189331,0.0795,0.0195,0.0695,0.6083219954648525
mcfarland_5,BRD3379_24,30,30,0.9999999876458007,0.176,0.043,0.0825,0.6589002267573697
mcfarland_5,BRD3379_24,30,50,0.9999999997382693,0.1835,0.0615,0.0885,0.6581859410430839
mcfarland_5,BRD3379_24,50,10,0.999999990720858,0.107,0.033,0.1005,0.651077097505669
mcfarland_5,BRD3379_24,50,30,1.0,0.204,0.048,0.077,0.6985034013605442
mcfarland_5,BRD3379_24,50,50,1.0,0.2165,0.059,0.0915,0.6908956916099772
mcfarland_5,BRD3379_6,10,10,0.44802069186449867,0.1135,0.007,0.043,0.6460997732426305
mcfarland_5,BRD3379_6,10,30,0.9599045615366938,0.2025,0.0355,0.076,0.690952380952381
mcfarland_5,BRD3379_6,10,50,0.5588254794436707,0.201,0.0625,0.092,0.6781632653061225
mcfarland_5,BRD3379_6,30,10,0.8922575395773378,0.192,0.021,0.0595,0.6616213151927437
mcfarland_5,BRD3379_6,30,30,0.9991198185847217,0.3065,0.034,0.073,0.6975396825396823
mcfarland_5,BRD3379_6,30,50,0.992595138567992,0.3155,0.0605,0.0905,0.7107596371882088
mcfarland_5,BRD3379_6,50,10,0.9141292331777288,0.2375,0.0335,0.1325,0.6539229024943312
mcfarland_5,BRD3379_6,50,30,0.9999217355498374,0.3715,0.0465,0.0825,0.7137528344671202
mcfarland_5,BRD3379_6,50,50,0.9981810721332767,0.3795,0.064,0.094,0.7115873015873017
norman,1,10,10,0.9999972661681484,0.4405,0.2355,0.296,0.5886507936507936
norman,1,10,30,1.0,0.528,0.389,0.47,0.5571201814058957
norman,1,10,50,1.0,0.5535,0.472,0.5105,0.5458049886621316
norman,1,30,10,0.9999999613050267,0.4455,0.254,0.313,0.5501587301587302
norman,1,30,30,1.0,0.56,0.423,0.529,0.5291609977324263
norman,1,30,50,1.0,0.583,0.4785,0.5705,0.5202040816326531
norman,1,50,10,0.9981027690769484,0.452,0.329,0.331,0.5709750566893425
norman,1,50,30,0.9999999999999953,0.562,0.4495,0.5415,0.5643424036281179
norman,1,50,50,1.0,0.5955,0.4955,0.59,0.5634467120181406
norman,2,10,10,1.0,0.527,0.318,0.3905,0.6188888888888888
norman,2,10,30,1.0,0.6015,0.464,0.536,0.6277324263038548
norman,2,10,50,1.0,0.6195,0.5365,0.567,0.6281292517006802
norman,2,30,10,1.0,0.536,0.3545,0.4295,0.6400793650793652
norman,2,30,30,1.0,0.632,0.503,0.6025,0.6361224489795918
norman,2,30,50,1.0,0.6605,0.552,0.6435,0.6449092970521542
norman,2,50,10,1.0,0.5425,0.4025,0.45,0.6322562358276644
norman,2,50,30,1.0,0.6365,0.523,0.621,0.6379138321995466
norman,2,50,50,1.0,0.666,0.564,0.667,0.5908956916099773
schiebinger,D1.5,10,10,1.0,0.3355,0.111,0.1505,0.9466326530612246
schiebinger,D1.5,10,30,1.0,0.396,0.164,0.203,0.9371428571428572
schiebinger,D1.5,10,50,1.0,0.41,0.178,0.2155,0.9476077097505669
schiebinger,D1.5,30,10,1.0,0.3735,0.1575,0.214,0.9548185941043082
schiebinger,D1.5,30,30,1.0,0.445,0.2265,0.2805,0.9519501133786848
schiebinger,D1.5,30,50,1.0,0.46,0.24,0.3025,0.9536054421768708
schiebinger,D1.5,50,10,1.0,0.3735,0.1975,0.2205,0.951530612244898
schiebinger,D1.5,50,30,1.0,0.447,0.252,0.3055,0.9518820861678003
schiebinger,D1.5,50,50,1.0,0.488,0.264,0.3145,0.9495691609977324
schiebinger,D2,10,10,1.0,0.2815,0.15,0.2245,0.8408390022675737
schiebinger,D2,10,30,1.0,0.318,0.2115,0.2985,0.8442290249433106
schiebinger,D2,10,50,1.0,0.3285,0.2495,0.303,0.8884920634920636
schiebinger,D2,30,10,1.0,0.322,0.187,0.284,0.8571655328798187
schiebinger,D2,30,30,1.0,0.3815,0.26,0.363,0.8589909297052154
schiebinger,D2,30,50,1.0,0.3925,0.286,0.3855,0.8398185941043085
schiebinger,D2,50,10,1.0,0.333,0.1995,0.286,0.8809070294784581
schiebinger,D2,50,30,1.0,0.4165,0.2815,0.362,0.8634580498866212
schiebinger,D2,50,50,1.0,0.4155,0.306,0.407,0.8566666666666667
schiebinger,D2.5,10,10,1.0,0.2805,0.167,0.2315,0.8365192743764173
schiebinger,D2.5,10,30,1.0,0.3155,0.217,0.294,0.8711791383219957
schiebinger,D2.5,10,50,1.0,0.3285,0.2395,0.3245,0.8525396825396824
schiebinger,D2.5,30,10,1.0,0.3305,0.1945,0.2605,0.8873242630385488
schiebinger,D2.5,30,30,1.0,0.386,0.2665,0.3615,0.8668027210884353
schiebinger,D2.5,30,50,1.0,0.396,0.284,0.382,0.8817346938775509
schiebinger,D2.5,50,10,1.0,0.3465,0.213,0.2925,0.877528344671202
schiebinger,D2.5,50,30,1.0,0.405,0.292,0.381,0.8778684807256235
schiebinger,D2.5,50,50,1.0,0.424,0.313,0.3975,0.8974149659863946
schiebinger,D3,10,10,1.0,0.2845,0.198,0.2785,0.8885600907029478
schiebinger,D3,10,30,1.0,0.334,0.262,0.3445,0.9053741496598638
schiebinger,D3,10,50,1.0,0.348,0.2765,0.3575,0.9090589569160998
schiebinger,D3,30,10,1.0,0.332,0.244,0.3315,0.8748979591836735
schiebinger,D3,30,30,1.0,0.3855,0.319,0.415,0.8765873015873017
schiebinger,D3,30,50,1.0,0.416,0.346,0.4445,0.9092290249433108
schiebinger,D3,50,10,1.0,0.335,0.27,0.3315,0.9166326530612244
schiebinger,D3,50,30,1.0,0.4035,0.3385,0.4335,0.9001700680272109
schiebinger,D3,50,50,1.0,0.436,0.3605,0.461,0.908061224489796
schiebinger,D3.5,10,10,1.0,0.3555,0.1975,0.294,0.8911337868480728
schiebinger,D3.5,10,30,1.0,0.381,0.245,0.342,0.9271201814058958
schiebinger,D3.5,10,50,1.0,0.394,0.2705,0.369,0.9425283446712018
schiebinger,D3.5,30,10,1.0,0.406,0.2375,0.326,0.8957596371882084
schiebinger,D3.5,30,30,1.0,0.456,0.3005,0.4105,0.9213038548752834
schiebinger,D3.5,30,50,1.0,0.4625,0.3245,0.425,0.9344331065759636
schiebinger,D3.5,50,10,1.0,0.4135,0.2575,0.334,0.898140589569161
schiebinger,D3.5,50,30,1.0,0.469,0.3205,0.4155,0.9177664399092972
schiebinger,D3.5,50,50,1.0,0.5025,0.3465,0.46,0.9245351473922904
schiebinger,D4,10,10,1.0,0.3495,0.241,0.3435,0.9223469387755102
schiebinger,D4,10,30,1.0,0.395,0.3055,0.406,0.9500226757369616
schiebinger,D4,10,50,1.0,0.4165,0.326,0.427,0.945997732426304
schiebinger,D4,30,10,1.0,0.382,0.282,0.3725,0.9511451247165532
schiebinger,D4,30,30,1.0,0.447,0.35,0.4655,0.9496938775510204
schiebinger,D4,30,50,1.0,0.464,0.373,0.5,0.9525510204081634
schiebinger,D4,50,10,1.0,0.388,0.296,0.3775,0.9687301587301588
schiebinger,D4,50,30,1.0,0.482,0.3675,0.4745,0.9563832199546486
schiebinger,D4,50,50,1.0,0.49,0.3905,0.5035,0.9687074829931972
schiebinger,D4.5,10,10,1.0,0.3555,0.2555,0.3535,0.9810090702947848
schiebinger,D4.5,10,30,1.0,0.4,0.326,0.417,0.9635714285714284
schiebinger,D4.5,10,50,1.0,0.418,0.3535,0.444,0.9778798185941044
schiebinger,D4.5,30,10,1.0,0.401,0.2915,0.3885,0.983310657596372
schiebinger,D4.5,30,30,1.0,0.4625,0.3695,0.474,0.9784580498866212
schiebinger,D4.5,30,50,1.0,0.474,0.3935,0.5005,0.9818707482993196
schiebinger,D4.5,50,10,1.0,0.405,0.324,0.3845,0.987607709750567
schiebinger,D4.5,50,30,1.0,0.461,0.382,0.4875,0.97921768707483
schiebinger,D4.5,50,50,1.0,0.4875,0.4085,0.5135,0.9814965986394556
schiebinger,D5,10,10,1.0,0.372,0.262,0.363,0.9876190476190476
schiebinger,D5,10,30,1.0,0.429,0.324,0.436,0.9894444444444443
schiebinger,D5,10,50,1.0,0.438,0.35,0.461,0.9935487528344672
schiebinger,D5,30,10,1.0,0.406,0.3035,0.4055,0.988061224489796
schiebinger,D5,30,30,1.0,0.474,0.384,0.4955,0.9883673469387756
schiebinger,D5,30,50,1.0,0.483,0.405,0.5245,0.992687074829932
schiebinger,D5,50,10,1.0,0.415,0.3285,0.402,0.992721088435374
schiebinger,D5,50,30,1.0,0.4795,0.3995,0.499,0.98765306122449
schiebinger,D5,50,50,1.0,0.501,0.422,0.537,0.9920748299319728
schiebinger,D5.5,10,10,1.0,0.361,0.256,0.365,0.976984126984127
schiebinger,D5.5,10,30,1.0,0.4205,0.321,0.438,0.9873015873015872
schiebinger,D5.5,10,50,1.0,0.4325,0.3395,0.4515,0.9893537414965988
schiebinger,D5.5,30,10,1.0,0.414,0.2945,0.417,0.9829931972789115
schiebinger,D5.5,30,30,1.0,0.4665,0.3795,0.501,0.9810884353741496
schiebinger,D5.5,30,50,1.0,0.4915,0.402,0.5155,0.9854081632653062
schiebinger,D5.5,50,10,1.0,0.413,0.312,0.4195,0.9829591836734696
schiebinger,D5.5,50,30,1.0,0.48,0.3955,0.5065,0.9635827664399096
schiebinger,D5.5,50,50,1.0,0.502,0.4185,0.539,0.9818934240362812
schiebinger,D6,10,10,1.0,0.418,0.2815,0.3875,0.988514739229025
schiebinger,D6,10,30,1.0,0.4765,0.368,0.474,0.9888321995464854
schiebinger,D6,10,50,1.0,0.499,0.3895,0.4915,0.9956462585034016
schiebinger,D6,30,10,1.0,0.451,0.3195,0.415,0.9983786848072562
schiebinger,D6,30,30,1.0,0.5155,0.4045,0.5165,0.9910657596371882
schiebinger,D6,30,50,1.0,0.541,0.43,0.542,0.984716553287982
schiebinger,D6,50,10,1.0,0.452,0.363,0.4255,0.9981972789115646
schiebinger,D6,50,30,1.0,0.52,0.429,0.54,0.9974036281179138
schiebinger,D6,50,50,1.0,0.553,0.4485,0.5535,0.9944104308390024
schiebinger,D6.5,10,10,1.0,0.3645,0.248,0.3365,0.9760090702947848
schiebinger,D6.5,10,30,1.0,0.402,0.3065,0.399,0.9876984126984129
schiebinger,D6.5,10,50,1.0,0.4415,0.3275,0.416,0.9908049886621316
schiebinger,D6.5,30,10,1.0,0.3875,0.2935,0.371,0.99156462585034
schiebinger,D6.5,30,30,1.0,0.4555,0.369,0.481,0.9830385487528344
schiebinger,D6.5,30,50,1.0,0.502,0.3885,0.5005,0.9741723356009072
schiebinger,D6.5,50,10,1.0,0.4085,0.3145,0.38,0.993639455782313
schiebinger,D6.5,50,30,1.0,0.4775,0.385,0.4835,0.9800226757369616
schiebinger,D6.5,50,50,1.0,0.5025,0.409,0.514,0.980374149659864
schiebinger,D7,10,10,1.0,0.38,0.2615,0.3605,0.9842517006802722
schiebinger,D7,10,30,1.0,0.436,0.338,0.436,0.9851587301587302
schiebinger,D7,10,50,1.0,0.467,0.3675,0.469,0.981530612244898
schiebinger,D7,30,10,1.0,0.41,0.3105,0.403,0.9957709750566894
schiebinger,D7,30,30,1.0,0.4885,0.3905,0.5085,0.9941496598639455
schiebinger,D7,30,50,1.0,0.5205,0.4165,0.5415,0.986315192743764
schiebinger,D7,50,10,1.0,0.409,0.348,0.4085,0.9968480725623584
schiebinger,D7,50,30,1.0,0.497,0.414,0.505,0.9951360544217688
schiebinger,D7,50,50,1.0,0.5325,0.4385,0.545,0.9960430839002268
schiebinger,D7.5,10,10,1.0,0.364,0.2595,0.358,0.9763832199546484
schiebinger,D7.5,10,30,1.0,0.4235,0.3275,0.4315,0.9727664399092972
schiebinger,D7.5,10,50,1.0,0.426,0.3505,0.447,0.975
schiebinger,D7.5,30,10,1.0,0.4045,0.301,0.3925,0.989512471655329
schiebinger,D7.5,30,30,1.0,0.464,0.3745,0.489,0.986904761904762
schiebinger,D7.5,30,50,1.0,0.49,0.3995,0.519,0.9785374149659865
schiebinger,D7.5,50,10,1.0,0.4095,0.321,0.4155,0.9882879818594104
schiebinger,D7.5,50,30,1.0,0.487,0.399,0.509,0.9900340136054422
schiebinger,D7.5,50,50,1.0,0.51,0.4205,0.5265,0.9882426303854877
schiebinger,D8,10,10,1.0,0.3755,0.249,0.346,0.943764172335601
schiebinger,D8,10,30,1.0,0.419,0.3205,0.4255,0.9586848072562358
schiebinger,D8,10,50,1.0,0.4445,0.344,0.45,0.9650226757369614
schiebinger,D8,30,10,1.0,0.407,0.278,0.392,0.972777777777778
schiebinger,D8,30,30,1.0,0.4805,0.365,0.488,0.9569614512471656
schiebinger,D8,30,50,1.0,0.5005,0.39,0.5065,0.9673696145124716
schiebinger,D8,50,10,1.0,0.413,0.299,0.4085,0.9840589569160998
schiebinger,D8,50,30,1.0,0.505,0.3835,0.499,0.9709410430839004
schiebinger,D8,50,50,1.0,0.515,0.4175,0.5295,0.9629138321995466
schiebinger,D8.5,10,10,1.0,0.369,0.2695,0.3625,0.984875283446712
schiebinger,D8.5,10,30,1.0,0.4155,0.324,0.4285,0.9875396825396828
schiebinger,D8.5,10,50,1.0,0.4455,0.3455,0.43,0.989331065759637
schiebinger,D8.5,30,10,1.0,0.4,0.316,0.4,0.9916439909297052
schiebinger,D8.5,30,30,1.0,0.467,0.3825,0.4985,0.9856009070294784
schiebinger,D8.5,30,50,1.0,0.4935,0.402,0.5115,0.9826077097505668
schiebinger,D8.5,50,10,1.0,0.429,0.3355,0.4195,0.9940589569160996
schiebinger,D8.5,50,30,1.0,0.4875,0.407,0.511,0.9931065759637188
schiebinger,D8.5,50,50,1.0,0.5145,0.4345,0.5375,0.99343537414966
schiebinger,D9,10,10,1.0,0.3635,0.253,0.3445,0.9686507936507937
schiebinger,D9,10,30,1.0,0.406,0.3025,0.4015,0.9965079365079365
schiebinger,D9,10,50,1.0,0.431,0.327,0.435,0.993106575963719
schiebinger,D9,30,10,1.0,0.41,0.316,0.4215,0.9810657596371882
schiebinger,D9,30,30,1.0,0.464,0.375,0.4855,0.9864285714285714
schiebinger,D9,30,50,1.0,0.4965,0.411,0.52,0.9899546485260772
schiebinger,D9,50,10,1.0,0.4405,0.339,0.438,0.9901814058956916
schiebinger,D9,50,30,1.0,0.493,0.4005,0.516,0.9675170068027212
schiebinger,D9,50,50,1.0,0.5115,0.4295,0.532,0.989659863945578
schiebinger,D9.5,10,10,1.0,0.3615,0.2385,0.3365,0.9808616780045352
schiebinger,D9.5,10,30,1.0,0.4155,0.2885,0.399,0.9823242630385488
schiebinger,D9.5,10,50,1.0,0.4155,0.308,0.421,0.983469387755102
schiebinger,D9.5,30,10,1.0,0.4055,0.3155,0.415,0.9681065759637186
schiebinger,D9.5,30,30,1.0,0.4645,0.3825,0.4965,0.973095238095238
schiebinger,D9.5,30,50,1.0,0.4905,0.409,0.516,0.9762471655328798
schiebinger,D9.5,50,10,1.0,0.417,0.3325,0.435,0.989591836734694
schiebinger,D9.5,50,30,1.0,0.485,0.4095,0.5145,0.9744557823129252
schiebinger,D9.5,50,50,1.0,0.5105,0.429,0.5315,0.9683333333333332
schiebinger,D10,10,10,1.0,0.3615,0.2385,0.354,0.9654761904761904
schiebinger,D10,10,30,1.0,0.4225,0.2945,0.397,0.9830839002267572
schiebinger,D10,10,50,1.0,0.422,0.315,0.4195,0.987936507936508
schiebinger,D10,30,10,1.0,0.3995,0.3125,0.429,0.9663038548752836
schiebinger,D10,30,30,1.0,0.4805,0.39,0.5015,0.9717913832199544
schiebinger,D10,30,50,1.0,0.505,0.412,0.514,0.9693877551020408
schiebinger,D10,50,10,1.0,0.416,0.3405,0.446,0.9599319727891158
schiebinger,D10,50,30,1.0,0.498,0.418,0.5275,0.9641383219954648
schiebinger,D10,50,50,1.0,0.5275,0.444,0.545,0.9738208616780044
schiebinger,D10.5,10,10,1.0,0.394,0.2565,0.392,0.964750566893424
schiebinger,D10.5,10,30,1.0,0.4675,0.3225,0.437,0.9738321995464854
schiebinger,D10.5,10,50,1.0,0.468,0.346,0.4495,0.976530612244898
schiebinger,D10.5,30,10,1.0,0.4255,0.3145,0.4315,0.9595578231292518
schiebinger,D10.5,30,30,1.0,0.499,0.3915,0.519,0.9690362811791384
schiebinger,D10.5,30,50,1.0,0.52,0.423,0.538,0.968015873015873
schiebinger,D10.5,50,10,1.0,0.439,0.3315,0.446,0.9568594104308392
schiebinger,D10.5,50,30,1.0,0.525,0.417,0.546,0.9728571428571428
schiebinger,D10.5,50,50,1.0,0.5655,0.445,0.573,0.9562925170068028
schiebinger,D11,10,10,1.0,0.3695,0.2315,0.364,0.92343537414966
schiebinger,D11,10,30,1.0,0.465,0.295,0.4115,0.9744104308390024
schiebinger,D11,10,50,1.0,0.457,0.315,0.454,0.9801473922902496
schiebinger,D11,30,10,1.0,0.4115,0.305,0.4385,0.9358163265306124
schiebinger,D11,30,30,1.0,0.504,0.399,0.517,0.9517233560090704
schiebinger,D11,30,50,1.0,0.5325,0.431,0.5505,0.9626530612244896
schiebinger,D11,50,10,1.0,0.426,0.3375,0.4505,0.9522108843537416
schiebinger,D11,50,30,1.0,0.5105,0.43,0.5545,0.9258276643990928
schiebinger,D11,50,50,1.0,0.5475,0.46,0.5675,0.9576984126984126
schiebinger,D11.5,10,10,1.0,0.46,0.265,0.3995,0.9738321995464854
schiebinger,D11.5,10,30,1.0,0.542,0.329,0.4595,0.9722562358276644
schiebinger,D11.5,10,50,1.0,0.549,0.356,0.475,0.9721655328798188
schiebinger,D11.5,30,10,1.0,0.4875,0.3355,0.4695,0.9807029478458048
schiebinger,D11.5,30,30,1.0,0.5725,0.4345,0.565,0.9800453514739228
schiebinger,D11.5,30,50,1.0,0.6015,0.458,0.5805,0.981360544217687
schiebinger,D11.5,50,10,1.0,0.5015,0.357,0.4765,0.9825510204081632
schiebinger,D11.5,50,30,1.0,0.598,0.457,0.5905,0.97765306122449
schiebinger,D11.5,50,50,1.0,0.6165,0.4875,0.6165,0.976904761904762
schiebinger,D12,10,10,1.0,0.4635,0.282,0.4305,0.987721088435374
schiebinger,D12,10,30,1.0,0.543,0.3515,0.4805,0.9861337868480726
schiebinger,D12,10,50,1.0,0.544,0.3775,0.4935,0.9895464852607708
schiebinger,D12,30,10,1.0,0.5035,0.3605,0.488,0.9863832199546484
schiebinger,D12,30,30,1.0,0.5835,0.454,0.5765,0.9851473922902494
schiebinger,D12,30,50,1.0,0.6115,0.48,0.6045,0.9822675736961451
schiebinger,D12,50,10,1.0,0.5155,0.3905,0.5115,0.9925963718820864
schiebinger,D12,50,30,1.0,0.597,0.4825,0.613,0.989002267573696
schiebinger,D12,50,50,1.0,0.636,0.509,0.6255,0.98765306122449
schiebinger,D12.5,10,10,1.0,0.571,0.292,0.4615,0.9874036281179138
schiebinger,D12.5,10,30,1.0,0.673,0.353,0.519,0.9851360544217688
schiebinger,D12.5,10,50,1.0,0.686,0.384,0.5325,0.9884580498866212
schiebinger,D12.5,30,10,1.0,0.605,0.3785,0.5145,0.992482993197279
schiebinger,D12.5,30,30,1.0,0.686,0.4905,0.6215,0.9873469387755104
schiebinger,D12.5,30,50,1.0,0.721,0.507,0.6515,0.9890136054421772
schiebinger,D12.5,50,10,1.0,0.6025,0.409,0.5265,0.9857369614512472
schiebinger,D12.5,50,30,1.0,0.7145,0.5275,0.643,0.9919274376417232
schiebinger,D12.5,50,50,1.0,0.7435,0.5395,0.6755,0.9878231292517008
schiebinger,D13,10,10,1.0,0.5635,0.305,0.4905,0.9872902494331066
schiebinger,D13,10,30,1.0,0.6725,0.3895,0.5735,0.9874263038548752
schiebinger,D13,10,50,1.0,0.681,0.422,0.587,0.9895578231292516
schiebinger,D13,30,10,1.0,0.594,0.3715,0.5225,0.9947959183673468
schiebinger,D13,30,30,1.0,0.6775,0.4725,0.625,0.9876303854875284
schiebinger,D13,30,50,1.0,0.7195,0.5045,0.654,0.9837528344671204
schiebinger,D13,50,10,1.0,0.598,0.392,0.531,0.991530612244898
schiebinger,D13,50,30,1.0,0.701,0.507,0.65,0.9918027210884354
