,test_group,split_1,split_2,augur,wilcoxon,deseq2_100,edgeR_100,deseq2_200,edgeR_200,scXMatch,memento,effect_size,balanced_edistance,unbalanced_edistance,a1,E,var,Unnamed: 0.1,deseq2_500,edgeR_500
mcfarland_1,Idasanutlin_24,10,10,0.6349433106575963,203.0,6.0,62.0,21.0,98.0,0.5438429027843471,261,0.0625994694960212,68.04668879239955,64.20622869982049,,,,,,
mcfarland_1,Idasanutlin_24,10,30,0.5885714285714286,154.0,19.0,96.0,45.0,154.0,0.7450010522500319,272,0.0953041067405995,50.64526841954307,35.52127885198007,,,,,,
mcfarland_1,Idasanutlin_24,10,50,0.591938775510204,161.0,26.0,109.0,63.0,189.0,0.9841888460256261,283,0.216051266402197,51.72732260230112,34.780827905504054,,,,,,
mcfarland_1,Idasanutlin_24,30,10,0.6065873015873016,327.0,91.0,203.0,60.0,184.0,0.9936097368113496,517,0.3083157152924594,48.17607886021983,48.21978324641054,,,,,,
mcfarland_1,Idasanutlin_24,30,30,0.5702721088435374,264.0,129.0,231.0,99.0,220.0,0.9900767737953203,652,0.2136565178835353,22.504784753359445,25.165109303479937,,,,,,
mcfarland_1,Idasanutlin_24,30,50,0.5620861678004535,301.0,156.0,218.0,123.0,223.0,0.9999643082019433,707,0.3023255813953488,22.087012518309905,24.21767855470131,,,,,,
mcfarland_1,Idasanutlin_24,50,10,0.6041496598639455,427.0,130.0,238.0,69.0,211.0,0.946688244173778,804,0.1795225464190981,54.90689589485447,51.81468503127621,,,,,,
mcfarland_1,Idasanutlin_24,50,30,0.5589455782312925,360.0,157.0,245.0,120.0,241.0,0.999995236400241,1005,0.3462138277594871,25.99021840097282,27.372675502036145,,,,,,
mcfarland_1,Idasanutlin_24,50,50,0.5745578231292517,424.0,158.0,235.0,135.0,254.0,0.9999998101107032,1167,0.3416539517851693,38.25858020735944,27.439404904377117,,,,,,
mcfarland_1,Idasanutlin_6,10,10,0.8063832199546483,362.0,24.0,86.0,14.0,84.0,0.991162361531112,450,0.3870967741935484,143.38700843200502,119.66637134128916,,,,,,
mcfarland_1,Idasanutlin_6,10,30,0.7589795918367348,305.0,57.0,147.0,29.0,133.0,0.9943483843538151,382,0.2946993029664452,112.35287586159971,72.05324209332963,,,,,,
mcfarland_1,Idasanutlin_6,10,50,0.749546485260771,338.0,65.0,142.0,52.0,158.0,0.9742047566802454,431,0.1924065087068227,56.94982701734051,75.64910402962681,,,,,,
mcfarland_1,Idasanutlin_6,30,10,0.8279591836734694,666.0,51.0,140.0,26.0,106.0,0.9998937295307193,1086,0.4507575757575758,146.38242348722122,139.52546564172894,,,,,,
mcfarland_1,Idasanutlin_6,30,30,0.7963492063492064,620.0,82.0,160.0,56.0,157.0,0.9999995211248887,1191,0.4404040404040404,95.91373714451566,89.60696712482866,,,,,,
mcfarland_1,Idasanutlin_6,30,50,0.7731519274376417,696.0,103.0,178.0,79.0,174.0,0.9999999954989667,1400,0.4454411764705882,94.90801565238944,94.93243368643562,,,,,,
mcfarland_1,Idasanutlin_6,50,10,0.837482993197279,765.0,85.0,182.0,29.0,142.0,0.9999995946753845,1271,0.5190839694656488,129.0426822094796,130.67478145153717,,,,,,
mcfarland_1,Idasanutlin_6,50,30,0.7926757369614513,751.0,107.0,207.0,76.0,187.0,0.999999999951429,1617,0.5078062066055469,88.97996066960957,82.79590784225456,,,,,,
mcfarland_1,Idasanutlin_6,50,50,0.7847278911564627,822.0,128.0,201.0,87.0,185.0,0.9999999999999936,1984,0.5247584948996824,86.91128266864575,88.04644617257236,,,,,,
mcfarland_2,Trametinib_24,10,10,0.8288888888888889,361.0,52.0,221.0,92.0,240.0,0.999981142538475,697,0.62890625,138.11736363384944,125.20869916849932,,,,,,
mcfarland_2,Trametinib_24,10,30,0.8514965986394557,447.0,152.0,364.0,223.0,360.0,0.9999995062219021,944,0.5650773195876289,127.55145698346382,118.94187526015752,,,,,,
mcfarland_2,Trametinib_24,10,50,0.8638208616780045,464.0,190.0,407.0,294.0,405.0,0.9999999959987208,1032,0.5899849397590362,150.70886712501215,118.33458791282789,,,,,,
mcfarland_2,Trametinib_24,30,10,0.8144331065759637,458.0,252.0,387.0,201.0,374.0,0.9999999995682385,1144,0.6732673267326732,115.40579610114072,107.78889732609508,,,,,,
mcfarland_2,Trametinib_24,30,30,0.8184580498866212,662.0,440.0,569.0,320.0,530.0,1.0,1845,0.7753236862147753,107.49901728757231,102.98751373210116,,,,,,
mcfarland_2,Trametinib_24,30,50,0.8422789115646259,714.0,498.0,633.0,396.0,604.0,1.0,2140,0.7663253012048192,115.66246528310796,104.3277598154652,,,,,,
mcfarland_2,Trametinib_24,50,10,0.8469501133786846,525.0,328.0,442.0,278.0,447.0,0.9999999997649966,1326,0.6007912087912088,104.91750673896836,112.08694711233272,,,,,,
mcfarland_2,Trametinib_24,50,30,0.8395918367346938,738.0,529.0,660.0,407.0,625.0,1.0,2392,0.8378021978021978,106.90292653911696,107.22590128879472,,,,,,
