,k,n_obs,n_var,total_ram_gb,n_edges,s,t_total
115,2000.0,50000.0,500.0,18.7,82330790.0,0.99996,1253.703534
112,2000.0,50000.0,1000.0,18.7,82636281.0,0.99996,1276.162708
114,2000.0,50000.0,2000.0,19.0,83156688.0,0.99992,1452.585388
177,5000.0,10000.0,10.0,7.1,31586848.0,1.0,810.956715
179,5000.0,10000.0,500.0,7.1,31714361.0,1.0,783.150904
176,5000.0,10000.0,1000.0,7.2,31649717.0,1.0,805.26428
178,5000.0,10000.0,2000.0,6.9,31727588.0,1.0,822.974668
181,5000.0,20000.0,10.0,15.2,68242391.0,,1750.14815
183,5000.0,20000.0,500.0,15.5,70590978.0,,1622.888069
180,5000.0,20000.0,1000.0,15.9,70888756.0,,1688.2251239999998
182,5000.0,20000.0,2000.0,16.3,70945771.0,,1606.84231
185,5000.0,50000.0,10.0,45.5,178495445.0,1.0,5345.153319
187,5000.0,50000.0,500.0,45.5,193227723.0,1.0,4532.481559
184,5000.0,50000.0,1000.0,45.4,194371901.0,1.0,4623.979522
186,5000.0,50000.0,2000.0,47.2,194727859.0,0.99996,5026.015767
