test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
D17.5,split_50,split_10,100,1.1570325184938988e-219,0,305.35306553911204,78.65860479779445,-34.429377057950546,1.0,1.0
D17.5,split_50,split_30,100,0.0,1,715.9335899903754,328.6324055772177,-39.437602854274125,0.9996793844180827,0.9986032224022154
D17.5,split_50,split_50,100,0.0,4,970.1952098892609,484.57023967131033,-43.89211526610201,1.0,0.9958771183786235
D3,split_10,split_10,100,2.919976622041033e-134,4,232.16617210682492,106.3805060428722,-22.121788225355644,1.0,0.9827709611451942
D3,split_10,split_30,100,5.400769399692385e-236,7,410.98298355076577,191.3640315556368,-29.203366330604517,0.9994334277620397,0.9829676646475186
D3,split_10,split_50,100,1.2373515655246993e-289,10,483.06292045904235,184.44888887283963,-34.83219852094547,0.9992094861660079,0.9792987630048333
D3,split_30,split_10,100,2.5670934488394248e-204,6,304.9339582445675,79.04459269292545,-33.62320974484932,1.0,0.9803236083165661
D3,split_30,split_30,100,0.0,13,713.6272991287512,328.4147851228075,-38.66123336852313,0.999677523379555,0.9817832081033456
D3,split_30,split_50,100,0.0,16,965.9673997412677,482.5923116557934,-43.24326751885953,1.0,0.9834362940154238
D3,split_50,split_10,100,1.4975951019322286e-238,8,325.61851556264963,56.26925693993125,-42.34188824901549,0.9994683678894205,0.9754313725490196
D3,split_50,split_30,100,0.0,15,838.7575891867937,311.53869910408133,-46.67060466922811,0.9997785160575858,0.9821164062258524
D3,split_50,split_50,100,0.0,16,1210.005685048323,554.6554510575215,-50.69845816857589,0.9996212121212121,0.9867769216312723
D17,split_10,split_10,100,9.719746672771935e-115,0,189.72332015810278,94.5976615367394,-19.50655227103198,0.9986859395532195,1.0
D17,split_10,split_30,100,8.42019932458799e-188,1,294.98545935228026,114.78681107865452,-27.43973135457509,1.0,0.9966100023974206
D17,split_10,split_50,100,7.649207118353122e-225,2,329.90777338603425,95.39273069639111,-33.573303130001214,0.9995612110574813,0.9939376996805112
D17,split_30,split_10,100,1.438045839613818e-173,2,272.61663286004057,100.26704384439554,-27.02560224105539,0.9993247805536799,0.9926636904761905
D17,split_30,split_30,100,0.0,1,558.7429467084639,279.36794043007524,-33.36920068291312,1.0,0.998210268235347
D17,split_30,split_50,100,0.0,2,701.8218218218218,328.44877980866727,-38.61478793473853,0.9996665555185061,0.9971502738475582
D17,split_50,split_10,100,1.4422070716564358e-207,2,300.95934216537233,82.55653067622156,-32.9030693016546,1.0,0.993354584092289
D17,split_50,split_30,100,0.0,1,692.1717103026182,325.55937722555217,-38.306356807806644,0.9996602106693849,0.9985552717842762
D17,split_50,split_50,100,0.0,2,927.0946857297006,463.46961491094333,-42.9710091143078,1.0,0.997842723045677
